DatasetID,year1,author1,DATA-CM (B/SR) 0.1,ERR-S (B/SR) 0.944,EN (EV) 1.1,ANG-CM (ADEG) 2.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C2606002,1951,O.Chamberlain+,0.00431,2.10E-04,3.45E+08,35.6,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00393,1.50E-04,3.45E+08,36.4,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00379,1.50E-04,3.45E+08,43.4,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00417,1.30E-04,3.45E+08,44,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00364,7.00E-05,3.45E+08,45.8,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00399,1.10E-04,3.45E+08,46.1,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00377,1.00E-04,3.45E+08,52.4,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00383,1.30E-04,3.45E+08,60.8,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00355,1.10E-04,3.45E+08,64,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00374,1.40E-04,3.45E+08,64,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00367,1.60E-04,3.45E+08,70.6,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00367,1.10E-04,3.45E+08,72.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00395,1.20E-04,3.45E+08,80.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00386,1.00E-04,3.45E+08,87.6,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00391,8.00E-05,3.45E+08,88.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.0037,8.00E-05,3.45E+08,88.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00385,6.00E-05,3.45E+08,88.6,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00354,9.00E-05,3.45E+08,88.6,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
C2606002,1951,O.Chamberlain+,0.00415,3.60E-04,3.45E+08,89.2,1001,1-H-1,P,EL,1-H-1,4,2,DA,DA,2,24,"1-H-1(P,EL)1-H-1,,DA"
